"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Maternal Exposure to IPV at any time","IPF(2a)-III","584","0","1","-0.42","-0.48","-0.06 (-0.15, 0.04)","0.23","0.29","-0.54","-0.62","-0.08 (-0.17, 0.01)","0.1","0.14"
"4","","2,3-dinor-iPF(a2)-III","584","0","1","1.7","1.67","-0.03 (-0.09, 0.02)","0.23","0.29","1.69","1.65","-0.04 (-0.09, 0.01)","0.11","0.14"
"5","","iPF(2a)-VI","584","0","1","2.48","2.46","-0.02 (-0.1, 0.05)","0.54","0.54","2.6","2.55","-0.05 (-0.12, 0.03)","0.21","0.21"
"6","","8,12-iso-iPF(2a)-VI","584","0","1","2.43","2.36","-0.07 (-0.16, 0.02)","0.15","0.29","2.43","2.33","-0.1 (-0.19, -0.01)","0.03","0.09"
"7","","Compiled F2-isoprostanes Score","584","0","1","2.89","2.8","-0.09 (-0.22, 0.04)","0.17","0.29","3.01","2.87","-0.13 (-0.26, -0.01)","0.04","0.09"
"8","","Pre to post-stress change in slope of sAA","674","0","1","4.01","3.32","-0.69 (-1.59, 0.21)","0.13","0.65","2.52","2.02","-0.49 (-1.41, 0.43)","0.3","0.88"
"9","","Pre-Stressor SAA","715","0","1","3.99","4.02","0.03 (-0.09, 0.16)","0.62","0.83","3.88","3.93","0.05 (-0.08, 0.18)","0.45","0.88"
"10","","Post-Stressor SAA","686","0","1","4.63","4.59","-0.04 (-0.18, 0.11)","0.62","0.83","4.53","4.52","0 (-0.15, 0.14)","0.95","0.99"
"11","","Change in Slope of Cortisol","661","0","1","0.01","0.01","0 (0, 0)","0.91","0.99","0.01","0.01","0 (0, 0)","0.99","0.99"
"12","","Pre-Stressor Cortisol","720","0","1","-2.02","-2.09","-0.07 (-0.18, 0.03)","0.16","0.65","-1.92","-2","-0.08 (-0.19, 0.02)","0.12","0.71"
"13","","Post-Stressor Cortisol","667","0","1","-1.33","-1.45","-0.12 (-0.27, 0.03)","0.11","0.65","-1.18","-1.3","-0.12 (-0.27, 0.02)","0.1","0.71"
"14","","Mean Arterial Pressure","1451","0","1","64.97","65.17","0.2 (-0.51, 0.91)","0.6","0.83","65.29","65.5","0.21 (-0.5, 0.93)","0.57","0.88"
"15","","Resting Heart Rate","1454","0","1","109.04","110.01","0.97 (-0.73, 2.67)","0.26","0.79","110.29","110.81","0.52 (-1.19, 2.24)","0.56","0.88"
"16","","Entire promoter region (39 assayed CpG sites)","679","0","1","-5.83","-5.79","0.04 (-0.06, 0.15)","0.43","0.83","-5.83","-5.8","0.03 (-0.08, 0.14)","0.59","0.88"
"17","","NGFI-A transcription factor binding site (CpG site #12)","405","0","1","-4.4","-4.39","0.02 (-0.07, 0.1)","0.74","0.89","-4.44","-4.44","0 (-0.08, 0.09)","0.97","0.99"
