"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Maternal Perceived Stress","Pre to post-stress change in slope of sAA","676","10","18","3.36","3.89","0.53 (-0.12, 1.18)","0.11","0.33","1.99","2.5","0.52 (-0.14, 1.18)","0.12","0.36"
"4","","Pre-Stressor SAA","717","10","18","3.91","4.06","0.16 (-0.02, 0.34)","0.09","0.33","3.78","3.95","0.17 (-0.01, 0.35)","0.07","0.29"
"5","","Post-Stressor SAA","688","10","18","4.53","4.67","0.14 (0.04, 0.24)","0.01","0.09","4.47","4.59","0.13 (0.02, 0.23)","0.02","0.2"
"6","","Change in Slope of Cortisol","663","10","18","0.01","0.01","0 (0, 0)","0.81","0.91","0.01","0.01","0 (0, 0)","0.59","0.78"
"7","","Pre-Stressor Cortisol","722","10","18","-2.05","-2.06","-0.01 (-0.08, 0.07)","0.9","0.91","-1.96","-1.97","-0.01 (-0.08, 0.07)","0.87","0.9"
"8","","Post-Stressor Cortisol","669","10","18","-1.42","-1.41","0.01 (-0.11, 0.12)","0.89","0.91","-1.28","-1.26","0.02 (-0.1, 0.14)","0.75","0.85"
"9","","Mean Arterial Pressure","1456","10","17.25","64.97","65.21","0.23 (-0.21, 0.67)","0.31","0.63","65.29","65.55","0.25 (-0.2, 0.69)","0.28","0.51"
"10","","Resting Heart Rate","1459","10","17","109","110.11","1.1 (0.05, 2.16)","0.04","0.28","110.29","111.1","0.81 (-0.25, 1.86)","0.13","0.36"
"11","","Entire promoter region (39 assayed CpG sites)","681","10","18","-5.81","-5.81","-0.01 (-0.08, 0.07)","0.83","0.91","-5.82","-5.81","0.01 (-0.12, 0.14)","0.9","0.9"
"12","","NGFI-A transcription factor binding site (CpG site #12)","406","10","18","-4.39","-4.41","-0.02 (-0.08, 0.05)","0.57","0.91","-4.44","-4.45","-0.02 (-0.08, 0.05)","0.62","0.79"
"13","","","","","","","","","","","","","","",""
"14","Paternal Perceived Stress","Pre to post-stress change in slope of sAA","498","15","22","3.39","3.49","0.1 (-0.62, 0.82)","0.8","0.91","2.39","2.61","0.22 (-0.5, 0.95)","0.56","0.78"
"15","","Pre-Stressor SAA","525","15","22","3.97","4.07","0.1 (0, 0.21)","0.06","0.28","3.9","3.99","0.09 (-0.01, 0.19)","0.09","0.31"
"16","","Post-Stressor SAA","507","15","22","4.55","4.65","0.1 (-0.02, 0.21)","0.1","0.33","4.49","4.59","0.1 (-0.01, 0.22)","0.07","0.29"
"17","","Change in Slope of Cortisol","484","14","22","0.01","0.01","0 (0, 0)","0.91","0.91","0.01","0.01","0 (0, 0)","0.82","0.9"
"18","","Pre-Stressor Cortisol","529","15","22","-2.06","-1.99","0.06 (-0.02, 0.14)","0.13","0.33","-1.96","-1.88","0.08 (0, 0.17)","0.05","0.27"
"19","","Post-Stressor Cortisol","488","14","22","-1.36","-1.3","0.06 (-0.07, 0.2)","0.34","0.63","-1.25","-1.18","0.07 (-0.06, 0.21)","0.27","0.51"
"20","","Mean Arterial Pressure","1052","15","22","65.35","64.81","-0.54 (-1.08, 0)","0.05","0.28","65.19","64.53","-0.66 (-1.25, -0.07)","0.03","0.22"
"21","","Resting Heart Rate","1055","15","22","109.46","111.32","1.86 (0.51, 3.2)","0.01","0.09","106.97","108.72","1.75 (0.4, 3.1)","0.01","0.2"
"22","","Entire promoter region (39 assayed CpG sites)","507","15","22","-5.78","-5.77","0.01 (-0.07, 0.09)","0.81","0.91","-5.69","-5.74","-0.05 (-0.17, 0.07)","0.43","0.69"
"23","","NGFI-A transcription factor binding site (CpG site #12)","302","14","21.75","-4.35","-4.44","-0.09 (-0.24, 0.07)","0.28","0.62","-4.33","-4.44","-0.11 (-0.27, 0.05)","0.19","0.41"
